season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2026,80273,Nicole Steiner,Cal St. Fullerton,BW,Fr,Wing G,A0,Traditional Big,A0,Traditional Big,0.61512505,A5,Two-Way Star Guard,0.22017992,A1,Midrange-Heavy Role Player,0.11642315,0.61512505,0.11642315,0.03955746,0.0,0.0,0.22017992,0.00871441,0.0
2026,80645,Talia Maxwell,Cal St. Fullerton,BW,Jr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.42861713,A7,Efficient Off-Ball Finisher,0.26208611,A4,Combo Guard,0.16241000,0.09979326,0.0,0.42861713,0.0,0.16241,0.0,0.0470935,0.26208611
2026,70526,Alondra Lizama,Cal St. Northridge,BW,Jr,Wing G,A0,Traditional Big,A0,Traditional Big,0.50528641,A4,Combo Guard,0.22448422,A7,Efficient Off-Ball Finisher,0.22090743,0.50528641,0.0,0.0,0.03213143,0.22448422,0.01719051,0.0,0.22090743
2026,81068,Amya Moody,Cal St. Northridge,BW,Fr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.46166723,A1,Midrange-Heavy Role Player,0.22863902,A3,Three-Point Specialist,0.16047767,0.0,0.22863902,0.0,0.16047767,0.46166723,0.0,0.14921607,0.0
2026,78961,Erika Aspajo,Cal St. Northridge,BW,Sr,Pure PG,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.49503907,A4,Combo Guard,0.22455219,A6,Low-Production Player,0.14213100,0.10633311,0.0,0.0,0.03194464,0.22455219,0.49503907,0.142131,0.0
2026,79453,Jite Gbemuotor,Cal St. Northridge,BW,So,PF/C,A2,Two-Way Star Big,A2,Two-Way Star Big,0.69097197,A5,Two-Way Star Guard,0.12202917,A1,Midrange-Heavy Role Player,0.08996021,0.08076993,0.08996021,0.69097197,0.0,0.0,0.12202917,0.01626871,0.0
2026,78951,Kelly Tumlin,Cal St. Northridge,BW,Sr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.49554121,A6,Low-Production Player,0.29065276,A5,Two-Way Star Guard,0.10392102,0.01326224,0.0,0.04547929,0.49554121,0.01443413,0.10392102,0.29065276,0.03670935
2026,78378,Laini Dahlin,Cal St. Northridge,BW,Sr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.50639338,A3,Three-Point Specialist,0.35632063,A2,Two-Way Star Big,0.06913078,0.06815521,0.0,0.06913078,0.35632063,0.0,0.0,0.50639338,0.0
2026,70086,Mariona Cos-Morales,Cal St. Northridge,BW,Sr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.38013231,A2,Two-Way Star Big,0.19017807,A7,Efficient Off-Ball Finisher,0.14245869,0.13345691,0.0,0.19017807,0.0,0.05776096,0.09601306,0.38013231,0.14245869
2026,70196,Morgan Edwards,Cal St. Northridge,BW,Sr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.46996062,A6,Low-Production Player,0.23828838,A5,Two-Way Star Guard,0.16392656,0.07231572,0.02462052,0.0,0.46996062,0.0,0.16392656,0.23828838,0.0308882
