season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2023,70026,Paige Winter,Portland St.,BSky,So,Wing G,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.37379617,A4,Combo Guard,0.26804064,A3,Three-Point Specialist,0.2586797,0.07599471,0.37379617,0.02348878,0.2586797,0.26804064,0.0,0.0,0.0
2023,74530,Reilly Kelty,Portland St.,BSky,Jr,PF/C,A0,Traditional Big,A0,Traditional Big,1.0,A1,Midrange-Heavy Role Player,0.0,A2,Two-Way Star Big,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,71787,Rhema Ogele,Portland St.,BSky,So,PF/C,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.43756543,A0,Traditional Big,0.29852265,A2,Two-Way Star Big,0.23654265,0.29852265,0.43756543,0.23654265,0.0,0.0,0.02736927,0.0,0.0
2023,69029,Sofia Llanos,Portland St.,BSky,So,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.49284723,A2,Two-Way Star Big,0.17051844,A5,Two-Way Star Guard,0.15484338,0.0,0.0,0.17051844,0.49284723,0.03188835,0.15484338,0.14990259,0.0
2023,74410,Syd Schultz,Portland St.,BSky,Sr,Wing G,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.48332656,A0,Traditional Big,0.26231578,A7,Efficient Off-Ball Finisher,0.16360504,0.26231578,0.48332656,0.0,0.0,0.00763552,0.0280497,0.0550674,0.16360504
2023,75261,Amaya Moss,Prairie View A&M,SWAC,--,PF/C,A6,Low-Production Player,A6,Low-Production Player,0.89588256,A0,Traditional Big,0.10411744,A1,Midrange-Heavy Role Player,0.0,0.10411744,0.0,0.0,0.0,0.0,0.0,0.89588256,0.0
2023,71490,Desiree Lewis,Prairie View A&M,SWAC,Sr,PF/C,A0,Traditional Big,A0,Traditional Big,0.69775007,A4,Combo Guard,0.14295645,A5,Two-Way Star Guard,0.09268388,0.69775007,0.0,0.0,0.0,0.14295645,0.09268388,0.0666096,0.0
2023,75162,Destiny Jenkins,Prairie View A&M,SWAC,Jr,Combo G,A6,Low-Production Player,A6,Low-Production Player,0.47217941,A5,Two-Way Star Guard,0.29252691,A3,Three-Point Specialist,0.23529368,0.0,0.0,0.0,0.23529368,0.0,0.29252691,0.47217941,0.0
2023,68793,Diana Rosenthal,Prairie View A&M,SWAC,Sr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.4186259,A5,Two-Way Star Guard,0.33996949,A1,Midrange-Heavy Role Player,0.07912373,0.01543982,0.07912373,0.07423556,0.4186259,0.05719867,0.33996949,0.01540682,0.0
2023,67489,Gerlyn Smith,Prairie View A&M,SWAC,Jr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.37557741,A1,Midrange-Heavy Role Player,0.22409349,A6,Low-Production Player,0.20239778,0.0,0.22409349,0.37557741,0.0,0.19793132,0.0,0.20239778,0.0
2023,70534,Jaliyah Harper,Prairie View A&M,SWAC,So,PF/C,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.49886092,A4,Combo Guard,0.29127073,A0,Traditional Big,0.18572047,0.18572047,0.49886092,0.0,0.0,0.29127073,0.0,0.0,0.02414788
