season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2023,75338,Zahra Daniel,Radford,BSth,Jr,PF/C,A4,Combo Guard,A4,Combo Guard,0.71374094,A1,Midrange-Heavy Role Player,0.28625906,A0,Traditional Big,0.0,0.0,0.28625906,0.0,0.0,0.71374094,0.0,0.0,0.0
2023,69328,Anaelle Dutat,Rhode Island,A10,Fr,Wing G,A0,Traditional Big,A0,Traditional Big,0.63194479,A1,Midrange-Heavy Role Player,0.1599618,A5,Two-Way Star Guard,0.14149976,0.63194479,0.1599618,0.02576094,0.0,0.0,0.14149976,0.0,0.04083271
2023,71064,Anete Adler,Rhode Island,A10,Fr,PF/C,A0,Traditional Big,A0,Traditional Big,0.47801546,A7,Efficient Off-Ball Finisher,0.29679541,A1,Midrange-Heavy Role Player,0.2097033,0.47801546,0.2097033,0.01548583,0.0,0.0,0.0,0.0,0.29679541
2023,69872,Dolly Cairns,Rhode Island,A10,Jr,Combo G,A4,Combo Guard,A4,Combo Guard,0.444703,A3,Three-Point Specialist,0.29955991,A7,Efficient Off-Ball Finisher,0.22332033,0.0,0.0,0.0,0.29955991,0.444703,0.03241676,0.0,0.22332033
2023,75135,Emma Squires,Rhode Island,A10,Sr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.30049315,A7,Efficient Off-Ball Finisher,0.22122574,A1,Midrange-Heavy Role Player,0.15716177,0.08707079,0.15716177,0.1214083,0.30049315,0.11264024,0.0,0.0,0.22122574
2023,69787,Emmi Rinat,Rhode Island,A10,So,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.38234191,A2,Two-Way Star Big,0.16026238,A4,Combo Guard,0.14343356,0.01700486,0.0,0.16026238,0.38234191,0.14343356,0.01259555,0.14127886,0.14308289
2023,69319,Hawa Komara,Rhode Island,A10,So,Wing G,A0,Traditional Big,A0,Traditional Big,0.56200332,A6,Low-Production Player,0.35770169,A1,Midrange-Heavy Role Player,0.08029499,0.56200332,0.08029499,0.0,0.0,0.0,0.0,0.35770169,0.0
2023,68823,Ines Debroise,Rhode Island,A10,Fr,Pure PG,A4,Combo Guard,A4,Combo Guard,0.52908595,A6,Low-Production Player,0.23806118,A5,Two-Way Star Guard,0.23285287,0.0,0.0,0.0,0.0,0.52908595,0.23285287,0.23806118,0.0
2023,74862,Madison Hattix-Covington,Rhode Island,A10,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.29377912,A2,Two-Way Star Big,0.20607187,A3,Three-Point Specialist,0.17803731,0.04436369,0.03090624,0.20607187,0.17803731,0.16056449,0.05448279,0.03179449,0.29377912
2023,70810,Mayé Touré,Rhode Island,A10,Jr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.60447875,A1,Midrange-Heavy Role Player,0.18123428,A4,Combo Guard,0.15087863,0.03987285,0.18123428,0.60447875,0.0,0.15087863,0.02353548,0.0,0.0
2023,74550,Sayawni Lassiter,Rhode Island,A10,Sr,Pure PG,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.59219258,A6,Low-Production Player,0.22911821,A4,Combo Guard,0.11545947,0.0,0.00792408,0.0,0.05530567,0.11545947,0.59219258,0.22911821,0.0
2023,69782,Sophie Phillips,Rhode Island,A10,So,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.52842366,A7,Efficient Off-Ball Finisher,0.31896174,A2,Two-Way Star Big,0.06602264,0.0,0.0,0.06602264,0.52842366,0.0,0.06257238,0.02401959,0.31896174
2023,69419,Sophie Sene,Rhode Island,A10,So,PF/C,A0,Traditional Big,A0,Traditional Big,0.43667787,A1,Midrange-Heavy Role Player,0.3726105,A4,Combo Guard,0.09602616,0.43667787,0.3726105,0.0,0.09468546,0.09602616,0.0,0.0,0.0
2023,67938,Tenin Magassa,Rhode Island,A10,So,PF/C,A2,Two-Way Star Big,A2,Two-Way Star Big,0.45625784,A0,Traditional Big,0.32368337,A1,Midrange-Heavy Role Player,0.22005879,0.32368337,0.22005879,0.45625784,0.0,0.0,0.0,0.0,0.0
2023,75426,Ashlee Austin,Rice,CUSA,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.29415808,A3,Three-Point Specialist,0.21494752,A2,Two-Way Star Big,0.19557326,0.0960289,0.0,0.19557326,0.21494752,0.09565938,0.10363286,0.0,0.29415808
2023,67503,Ashlyn Zhang,Rice,CUSA,Fr,PF/C,A6,Low-Production Player,A6,Low-Production Player,0.66617409,A1,Midrange-Heavy Role Player,0.33382591,A0,Traditional Big,0.0,0.0,0.33382591,0.0,0.0,0.0,0.0,0.66617409,0.0
2023,71692,Destiny Jackson,Rice,CUSA,Sr,Combo G,A4,Combo Guard,A4,Combo Guard,0.52413609,A0,Traditional Big,0.26236718,A5,Two-Way Star Guard,0.21349673,0.26236718,0.0,0.0,0.0,0.52413609,0.21349673,0.0,0.0
2023,70394,Dominique Ennis,Rice,CUSA,Fr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.33907313,A7,Efficient Off-Ball Finisher,0.17617801,A6,Low-Production Player,0.16258886,0.00199867,0.01567046,0.05471133,0.33907313,0.10646545,0.14331409,0.16258886,0.17617801
2023,69421,Fatou Samb,Rice,CUSA,Jr,PF/C,A0,Traditional Big,A0,Traditional Big,0.75968911,A4,Combo Guard,0.14707548,A6,Low-Production Player,0.0932354,0.75968911,0.0,0.0,0.0,0.14707548,0.0,0.0932354,0.0
2023,70403,Hailey Adams,Rice,CUSA,Fr,PF/C,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.54406697,A6,Low-Production Player,0.42938539,A4,Combo Guard,0.02654764,0.0,0.54406697,0.0,0.0,0.02654764,0.0,0.42938539,0.0
2023,74803,Haylee Swayze,Rice,CUSA,Sr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.70168237,A6,Low-Production Player,0.15271626,A2,Two-Way Star Big,0.10893987,0.0,0.0,0.10893987,0.70168237,0.0,0.03666149,0.15271626,0.0
2023,74936,India Bellamy,Rice,CUSA,Sr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.32851874,A0,Traditional Big,0.24470597,A7,Efficient Off-Ball Finisher,0.22778916,0.24470597,0.00656635,0.32851874,0.0,0.07971774,0.0668545,0.04584754,0.22778916
