season_player_id,player_name,team,conf,season,cls,pos,archetype,height_inches,GP,mins_per_game,pts_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,bpm,porpag,eFG,ts,FT_pct,3P_pct,three_pa_per_100,AST_TOV,AST_pct,TOV_pct,ORB_pct,DRB_pct,Stl_pct,Blk_pct,FTR,personal_fouls_per_40,usg,three_share,rim_share,mid_share,rim_pct,mid_pct,assisted_fg_pct,rim_assisted_pct,mid_assisted_pct,three_assisted_pct,stops_per_40,score_pg_combo,score_wing_2_4,score_stretch_big,primary_score,year,class,role,height
2024_67708,Camryn Fauria,Binghamton,AE,2024,SO,G/F,Stretch Big,72.0,29.0,22.0,5.7419,4.6452,0.8065,0.3226,0.129,-5.44169,0.0657074,0.413,0.4462,0.727,0.286,4.67017,0.59529084,0.074,0.21,0.039,0.198,0.9,0.6,19.8,3.7,0.181,0.2934131736526946,0.2155688622754491,0.4910179640718562,0.6111,0.3171,0.6290322580645161,0.5454545454545454,0.5384615384615384,0.9285714285714286,7.7934169278996865,42.77997070800886,63.60595671570846,65.82768279986935,65.82768279986935,2024,SO,G/F,"6'0"""
2025_67708,Camryn Fauria,Binghamton,AE,2025,JR,G/F,Stretch Big,72.0,27.0,17.1233,4.4333,3.5667,0.4333,0.4333,0.1333,-4.75255,0.730329,0.509,0.5215,0.611,0.32,3.4813,0.54162498,0.054,0.1969999999999999,0.077,0.153,0.017,0.5,16.4,3.8,0.163,0.2272727272727272,0.4181818181818181,0.3545454545454545,0.5435,0.4872,0.6538461538461539,0.52,0.6842105263157895,1.0,6.9015859049322215,42.97438736872188,57.350449769593055,59.61325608523212,59.61325608523212,2025,JR,G/F,"6'0"""
2021_74037,Cassidy Roberts,Binghamton,AE,2021,SO,G,PG / Combo Guard,67.0,16.0,26.75,4.375,2.375,2.5625,0.625,0.1875,-5.52731,-0.703707,0.4379999999999999,0.4779,0.667,0.167,1.65311,1.07894737,0.1989999999999999,0.361,0.025,0.069,0.0139999999999999,0.6,32.8,3.1,0.145,0.1875,0.1875,0.625,0.3333,0.525,0.4444444444444444,0.0,0.4761904761904761,1.0,6.404401869158879,62.82408730442238,37.08894020255433,31.95650110846274,62.82408730442238,2021,SO,G,"5'7"""
2022_74037,Cassidy Roberts,Binghamton,AE,2022,JR,G,PG / Combo Guard,67.0,27.0,33.6207,3.0345,3.3103,3.069,0.7586,0.5517,-4.52363,-2.41993,0.282,0.3442,0.909,0.083,0.781243,1.34847759,0.177,0.3429999999999999,0.025,0.086,0.013,0.015,20.4,1.9,0.1119999999999999,0.1111111111111111,0.2685185185185185,0.6203703703703703,0.4483,0.2388,0.6333333333333333,0.3076923076923077,0.875,1.0,6.795813293595909,56.75198256769308,42.10527298664384,37.13090347889218,56.75198256769308,2022,JR,G,"5'7"""
2023_74037,Cassidy Roberts,Binghamton,AE,2023,SR,F/C,PG / Combo Guard,67.0,12.0,17.3571,2.0714,1.3571,1.2857,0.2857,0.2857,-5.19355,-0.641746,0.44,0.4443999999999999,0.5,0.0,0.293436,1.99984443,0.1169999999999999,0.212,0.5,0.067,0.6,0.02,8.0,3.3,0.083,0.04,0.32,0.64,0.375,0.5,0.7272727272727273,0.0,1.0,0.0,5.767534131085647,50.78320354361649,27.527568653309064,23.12028494965828,50.78320354361649,2023,SR,F/C,"5'7"""
2021_67853,Clare Traeger,Binghamton,AE,2021,SO,G/F,Stretch Big,70.0,16.0,22.25,4.1875,6.0625,0.5625,1.375,0.3125,-4.6098,-1.13947,0.33,0.3315999999999999,0.313,0.25,2.65211,0.29032258,0.055,0.267,0.104,0.186,0.036,0.013,17.0,3.6,0.192,0.1702127659574468,0.2659574468085106,0.5638297872340425,0.48,0.2453,0.3793103448275862,0.3333333333333333,0.2307692307692307,1.0,10.079112359550562,27.40497963849396,51.109598646237366,52.74218062809063,52.74218062809063,2021,SO,G/F,"5'10"""
2022_67853,Clare Traeger,Binghamton,AE,2022,JR,G/F,Stretch Big,70.0,27.0,24.8276,7.069,8.2414,0.5517,1.069,0.2759,-6.26208,-0.285031,0.344,0.3826,0.696,0.263,6.61807,0.33331319,0.037,0.183,0.0819999999999999,0.275,0.022,1.0,21.4,3.2,0.209,0.3534883720930232,0.3209302325581395,0.3255813953488372,0.3188,0.3143,0.65625,0.5454545454545454,0.5,0.95,10.515597038660085,29.399156962206188,61.05533219761704,61.28564940844793,61.28564940844793,2022,JR,G/F,"5'10"""
2023_67853,Clare Traeger,Binghamton,AE,2023,SR,G/F,Stretch Big,70.0,27.0,28.8966,8.0345,8.7586,0.931,1.2414,0.2069,-4.81146,-0.730087,0.34,0.3759,0.723,0.238,6.12694,0.42855827,0.063,0.208,0.062,0.255,0.025,0.7,18.4,2.9,0.207,0.328125,0.24609375,0.42578125,0.381,0.3028,0.5844155844155844,0.2916666666666667,0.5454545454545454,1.0,10.078232963970386,33.21952918482532,59.48740933633038,59.87231324431066,59.87231324431066,2023,SR,G/F,"5'10"""
2021_67882,Denai Bowman,Binghamton,AE,2021,SO,G/F,PG / Combo Guard,69.0,16.0,36.4375,12.9375,5.875,2.4375,2.0,0.6875,-0.717546,1.20699,0.409,0.4195,0.5,0.0,0.404658,0.88636364,0.175,0.178,0.049,0.123,0.032,0.017,16.5,1.9,0.25,0.017391304347826,0.3043478260869565,0.6782608695652174,0.5714,0.3462,0.3085106382978723,0.325,0.2962962962962963,0.0,8.695711835334476,50.40794455954847,32.135581781903284,32.32981983291421,50.40794455954847,2021,SO,G/F,"5'9"""
2022_67882,Denai Bowman,Binghamton,AE,2022,JR,G,PG / Combo Guard,69.0,27.0,36.1034,14.5862,5.1724,3.7241,1.8621,0.7931,1.96709,2.5122,0.4539999999999999,0.4952,0.725,0.0,0.414921,1.16127732,0.265,0.206,0.054,0.1,0.031,0.022,28.6,1.7,0.262,0.0196078431372549,0.3557422969187675,0.6246498599439776,0.5433,0.417,0.2469135802469135,0.2898550724637681,0.2150537634408602,0.0,8.558258286538726,60.62763449310566,42.59146521992042,41.960437142475264,60.62763449310566,2022,JR,G,"5'9"""
2023_67882,Denai Bowman,Binghamton,AE,2023,SR,G,PG / Combo Guard,69.0,27.0,34.4138,13.0345,4.2069,3.3103,2.0345,1.0,1.9081,1.77053,0.4639999999999999,0.4731,0.476,0.125,0.488591,1.52379862,0.2339999999999999,0.153,0.037,0.096,0.033,0.023,30.9,2.1,0.231,0.024024024024024,0.4324324324324324,0.5435435435435435,0.5556,0.4033,0.2337662337662337,0.2375,0.2191780821917808,1.0,8.563618858326214,65.68407515896263,47.19810042458028,45.13971291297065,65.68407515896263,2023,SR,G,"5'9"""
2024_67882,Denai Bowman,Binghamton,AE,2024,SR,G,PG / Combo Guard,69.0,25.0,31.2692,12.1154,4.2308,2.5769,1.3846,0.9231,2.40868,3.01071,0.496,0.5296,0.684,0.667,0.232527,1.45653406,0.1939999999999999,0.155,0.054,0.102,0.027,0.0289999999999999,30.9,1.8,0.23,0.01171875,0.42578125,0.5625,0.6972,0.3333,0.2936507936507936,0.3026315789473684,0.25,1.0,7.759763601243397,77.54724226619989,65.5662687250955,60.29826486712593,77.54724226619989,2024,SR,G,"5'9"""
2021_74986,Destiny Samuel,Binghamton,AE,2021,SO,G/F,Stretch Big,74.0,12.0,14.0,4.1667,3.75,0.3333,0.5833,0.3333,-7.48521,-0.284001,0.469,0.476,0.5,0.375,5.60674,0.16665,0.0559999999999999,0.362,0.0579999999999999,0.226,0.024,0.021,16.3,5.7,0.233,0.3265306122448979,0.2040816326530612,0.4693877551020408,0.5,0.3913,0.45,0.6,0.2222222222222222,0.6666666666666666,10.187142857142856,41.50353647210117,70.69970864727799,75.95297720482603,75.95297720482603,2021,SO,G/F,"6'2"""
